"BU_NAME","IMPEXP_TYPR","CONTAINER_NUM","SHIPPING_LINE_OPERATOR","VESSEL","VOYAGE_NUM","ARRIVAL_DATE","DEPARTURE_DATE","ORIGIN_COUNTRY","PORT_OF_LANDING","DESTINATION_COUNTRY","PORT_OF_UNLADING","TEU","GOODS_VALUE_USD","NOTIFIER_NAME","CONSIGNEE_NAME","SHIPPER_NAME","ITEM_DESCRIPTION","BL_NO"
"NEPTUNIA","Import","CAIU5560139","SEABORD PERU","FOUMA","36","20190722","20190723","","Moin , Costa Rica","","Callao , Peru",2,"","","","","","SMLU5735568A"
"NEPTUNIA","Import","CAIU5559293","SEABORD PERU","FOUMA","36","20190722","20190723","","Moin , Costa Rica","","Callao , Peru",2,"","","","","","SMLU5735568A"
"NEPTUNIA","Import","CAIU5541442","SEABORD PERU","FOUMA","36","20190722","20190723","","Moin , Costa Rica","","Callao , Peru",2,"","","","","","SMLU5735568A"
"NEPTUNIA","Import","CGMU4937173","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","CGMU5241404","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","CGMU5283251","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","TGHU9951409","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","CGMU4969057","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","APRU5716904","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","TEMU9114740","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","APRU6144212","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","TTNU8692270","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","CGMU9344484","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","CGMU9351328","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","CGMU5347802","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Le Havre , France","","Callao , Peru",2,"","","","","","LHV2098127"
"NEPTUNIA","Import","BMOU9645949","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TLLU1045367","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TTNU8287045","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CAIU5587973","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CAIU5588429","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TTNU8507807","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TRIU8137760","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CGMU6512901","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TRIU8676627","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CGMU4955789","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","APRU5066780","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CGMU4952115","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CGMU9385061","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TCLU1035714","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TTNU8055224","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TCLU1024730","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","SZLU9493507","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CAIU5512655","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CAIU5654541","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","TLLU1047776","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","LONDON GATEWAY , United Kingdom","","Callao , Peru",2,"","","","","","LPL0891732"
"NEPTUNIA","Import","CGMU5139373","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","TRIU8665854","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","CGMU9409456","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","CGMU5160149","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","BMOU9774669","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","SZLU9020757","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","TCLU1056954","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","APRU5836350","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","TEMU9413079","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","CHIU9014892","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","TRIU8129912","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","TRIU8519130","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","CGMU6548946","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","CGMU9401630","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","TTNU8620177","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","AMCU9286109","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Lazaro Cardenas , Mexico","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","TTNU8631886","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TCLU1385564","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","BMOU9643530","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TLLU1048833","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TTNU8633847","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","IKSU4010067","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TTNU8632692","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TLLU1045259","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TLLU1069482","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","BMOU9641856","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","CAIU5555750","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","CGMU6900701","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","CGMU6902094","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TTNU8632347","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TTNU8977288","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","CGMU6902854","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","CAIU5650037","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","TLLU1053629","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","BMOU9641326","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","CAIU5556057","CMA-CGM","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Rotterdam , Netherlands","","Callao , Peru",2,"","","","","","ANT1247666"
"NEPTUNIA","Import","SMLU5471649","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5472856","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","TEMU9621236","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5546763","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5541083","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5553227","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5444242","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5470513","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5469976","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CXRU1117384","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5543234","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5547672","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5470196","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5542428","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5472650","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5471227","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5445742","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5449080","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5440632","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5542449","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SEGU9429850","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5470982","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","TEMU9468282","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5560653","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SEGU9425833","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5471084","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5547564","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5560611","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5443987","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SEGU9432581","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5560550","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5447299","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5471079","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5472964","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5473106","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CAIU5546819","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","CXRU1556730","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SZLU9304244","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SZLU9303361","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SMLU5446857","SEABORD PERU","ALIOTH","19028N","20190713","20190713","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5726471A"
"NEPTUNIA","Import","SEGU9499604","SEABORD PERU","ALIOTH","19030N","20190727","20190728","","Balboa , Panama","","Callao , Peru",2,"","","","","","SMLU5738795A"
"NEPTUNIA","Import","CAIU5588007","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Kaohsiung , Taiwan","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","CAIU5557644","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Kaohsiung , Taiwan","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","CGMU6901349","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Kaohsiung , Taiwan","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","TLLU1068681","CMA-CGM","CMA CGM ESTELLE","0JX2YW1PL","20190804","20190805","","Kaohsiung , Taiwan","","Callao , Peru",2,"","","","","",""
"NEPTUNIA","Import","SMLU5470010","SEABORD PERU","FOUMA","36","20190722","20190723","","Miami , United States","","Callao , Peru",2,"","","","","","SMLU5732296A"
"NEPTUNIA","Import","CAIU5559734","SEABORD PERU","FOUMA","36","20190722","20190723","","Miami , United States","","Callao , Peru",2,"","","","","","SMLU5732296A"
"NEPTUNIA","Import","CAIU5548787","SEABORD PERU","FOUMA","36","20190722","20190723","","Miami , United States","","Callao , Peru",2,"","","","","","SMLU5732296A"
"NEPTUNIA","Import","CAIU5546681","SEABORD PERU","FOUMA","36","20190722","20190723","","Miami , United States","","Callao , Peru",2,"","","","","","SMLU5732296A"
"NEPTUNIA","Import","CAIU5546110","SEABORD PERU","FOUMA","36","20190722","20190723","","Miami , United States","","Callao , Peru",2,"","","","","","SMLU5732296A"
"NEPTUNIA","Import","CAIU5545089","SEABORD PERU","FOUMA","36","20190722","20190723","","Miami , United States","","Callao , Peru",2,"","","","","","SMLU5732296A"
"NEPTUNIA","Import","CAIU5544781","SEABORD PERU","FOUMA","36","20190722","20190723","","Miami , United States","","Callao , Peru",2,"","","","","","SMLU5732296A"
"NEPTUNIA","Import","CAIU5541720","SEABORD PERU","FOUMA","36","20190722","20190723","","Miami , United States","","Callao , Peru",2,"","","","","","SMLU5732296A"
